id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,fico_range_high,fico_range_low,revol_bal,revol_util
54097739,9800, 36 months,7.8,306.6,A,7 years,OWN,50000.0,Source Verified,debt_consolidation,33.73,0.0,1998-09-01,11.0,0.0,744,740,8069,31.0
38479328,6000, 36 months,7.4,186.61,A,5 years,RENT,65000.0,Source Verified,credit_card,10.08,0.0,1994-11-01,9.0,1.0,699,695,4867,33.0
85481549,35000, 60 months,24.4,1016.86,E,10+ years,RENT,70000.0,Source Verified,other,10.68,1.0,1990-03-01,6.0,0.0,679,675,14993,69.0
33181666,12000, 36 months,8.6,379.76,B,1 year,RENT,63000.0,Source Verified,debt_consolidation,22.99,0.0,2003-09-01,17.0,0.0,674,670,10751,69.0
52016730,16000, 36 months,13.3,541.65,C,8 years,MORTGAGE,90000.0,Not Verified,debt_consolidation,4.49,0.0,2000-07-01,13.0,1.0,689,685,10958,37.0
72235609,18000, 36 months,7.8,563.15,A,10+ years,MORTGAGE,120000.0,Source Verified,debt_consolidation,25.48,0.0,1998-12-01,29.0,0.0,694,690,24962,31.0
22111464,14000, 36 months,7.6,436.71,A,4 years,RENT,100000.0,Not Verified,debt_consolidation,19.91,1.0,1999-01-01,9.0,0.0,714,710,39787,68.0
137616497,10000, 36 months,6.1,304.72,A,3 years,RENT,100000.0,Not Verified,debt_consolidation,8.93,0.0,2001-11-01,8.0,0.0,779,775,9343,19.0
56925226,6375, 36 months,6.8,196.53,A,4 years,MORTGAGE,50460.0,Not Verified,credit_card,13.86,0.0,2008-05-01,7.0,0.0,724,720,6496,42.0
43639723,12000, 36 months,11.5,395.89,B,1 year,RENT,33000.0,Not Verified,debt_consolidation,21.42,0.0,2003-08-01,8.0,0.0,689,685,10755,66.0
51416725,6000, 36 months,8.1,188.52,B,1 year,RENT,35000.0,Not Verified,credit_card,9.05,0.0,2006-09-01,6.0,0.0,674,670,5149,84.0
75172122,33800, 36 months,18.2,1226.2,D,,OWN,87000.0,Source Verified,debt_consolidation,33.68,1.0,2001-02-01,11.0,0.0,674,670,17176,82.0
97202587,11525, 36 months,11.3,379.45,B,2 years,MORTGAGE,145000.0,Source Verified,debt_consolidation,26.09,0.0,2008-08-01,24.0,1.0,684,680,8595,30.0
121442254,16100, 36 months,16.0,566.19,C,4 years,MORTGAGE,35000.0,Verified,debt_consolidation,7.44,0.0,1998-12-01,2.0,0.0,719,715,8053,79.0
72782980,18000, 36 months,19.5,664.65,D,7 years,MORTGAGE,104000.0,Verified,credit_card,24.14,0.0,2008-10-01,44.0,1.0,664,660,19616,36.0
78839430,7000, 36 months,12.9,235.83,C,4 years,MORTGAGE,31000.0,Source Verified,debt_consolidation,8.05,0.0,2002-11-01,5.0,0.0,669,665,6837,84.0
74834282,5000, 36 months,9.7,160.75,B,2 years,OWN,42000.0,Source Verified,debt_consolidation,17.66,0.0,2010-03-01,7.0,0.0,689,685,5983,47.0
1159635,30000, 36 months,17.9,1084.43,D,9 years,MORTGAGE,93000.0,Verified,wedding,21.35,0.0,1996-05-01,15.0,0.0,704,700,32167,46.0
1140160,35000, 60 months,20.8,944.71,F,< 1 year,OWN,150000.0,Verified,debt_consolidation,10.55,0.0,1986-10-01,8.0,0.0,679,675,27377,79.0
21951231,16000, 60 months,18.2,408.39,D,3 years,RENT,84000.0,Source Verified,debt_consolidation,11.81,0.0,2003-06-01,11.0,0.0,674,670,24181,84.0
71946142,3775, 36 months,16.2,133.26,D,3 years,RENT,57000.0,Source Verified,moving,18.61,0.0,2003-08-01,26.0,0.0,684,680,2051,28.0
13458511,14000, 60 months,13.6,323.23,C,5 years,MORTGAGE,50000.0,Source Verified,debt_consolidation,11.26,0.0,1976-11-01,12.0,0.0,709,705,21078,68.0
76467152,17000, 36 months,15.3,591.9,C,,MORTGAGE,45800.0,Verified,debt_consolidation,30.4,0.0,2004-06-01,11.0,0.0,684,680,5645,55.0
31647788,28975, 36 months,8.3,913.2,A,3 years,OWN,58000.0,Verified,credit_card,27.52,0.0,1977-09-01,15.0,0.0,729,725,50056,32.0
68517824,19300, 36 months,12.8,649.18,C,< 1 year,RENT,60000.0,Not Verified,debt_consolidation,26.4,4.0,2000-08-01,14.0,0.0,689,685,6602,17.0
79562572,5600, 36 months,9.1,178.5,B,2 years,RENT,72600.0,Not Verified,debt_consolidation,33.47,0.0,2004-08-01,22.0,0.0,689,685,12499,39.0
86543453,5000, 36 months,8.5,158.05,A,3 years,OWN,45000.0,Verified,credit_card,18.91,0.0,2002-08-01,12.0,0.0,814,810,4673,7.0
447596,10000, 36 months,12.1,333.0,B,5 years,RENT,60000.0,Not Verified,car,2.82,0.0,2000-08-01,6.0,0.0,714,710,1250,5.0
109788152,5000, 36 months,12.6,167.56,C,1 year,RENT,52000.0,Source Verified,debt_consolidation,26.01,0.0,2010-03-01,7.0,1.0,689,685,3781,47.0
134995437,8000, 36 months,14.0,273.54,C,10+ years,MORTGAGE,135000.0,Verified,credit_card,12.12,1.0,2004-02-01,8.0,0.0,674,670,9721,57.0
75428019,25000, 36 months,5.3,752.87,A,5 years,MORTGAGE,80000.0,Not Verified,credit_card,19.11,0.0,1999-10-01,19.0,0.0,719,715,36182,47.0
4528746,3000, 36 months,15.3,104.46,C,1 year,RENT,20000.0,Not Verified,major_purchase,29.1,0.0,1986-08-01,7.0,0.0,714,710,12947,79.0
55070540,29550, 36 months,12.6,991.25,C,10+ years,MORTGAGE,85000.0,Source Verified,debt_consolidation,22.27,0.0,1995-10-01,12.0,0.0,674,670,16927,51.0
64998633,28000, 36 months,7.2,867.9,A,2 years,RENT,190000.0,Verified,debt_consolidation,26.31,0.0,2004-11-01,14.0,0.0,709,705,48567,73.0
