id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,fico_range_high,fico_range_low,revol_bal,revol_util,total_pymnt,last_pymnt_d,recoveries,loan_length,term_num,ret_PESS
44756846,10000,10000, 36 months,9.9,322.63,B,10+ years,MORTGAGE,43717.0,Verified,2015-04-01,Fully Paid,home_improvement,6.2,0.0,1997-03-01,7.0,0.0,794,790,59708,19.0,11485.678,2017-06-01,0.0,26.021069,36,4.9522595
99480680,34050,34050, 60 months,28.6,1074.4,F,10+ years,MORTGAGE,85000.0,Verified,2017-03-01,Fully Paid,major_purchase,16.91,1.0,2004-09-01,11.0,0.0,699,695,16779,76.0,41436.54,2017-12-01,0.0,9.035093,60,4.338643
88321792,9600,9600, 36 months,10.4,311.98,B,< 1 year,OWN,37000.0,Source Verified,2016-08-01,Fully Paid,credit_card,24.29,0.0,1984-05-01,14.0,1.0,684,680,10148,48.0,10528.546,2017-09-01,0.0,13.010534,36,3.2241178
58401079,5000,5000, 36 months,9.9,161.32,B,3 years,MORTGAGE,120000.0,Source Verified,2015-09-01,Fully Paid,car,13.03,0.0,2008-07-01,12.0,0.0,674,670,14607,38.0,5480.61,2016-10-01,0.0,13.010534,36,3.2040658
92749250,9000,9000, 36 months,17.9,325.33,D,< 1 year,RENT,70000.0,Verified,2016-11-01,Fully Paid,debt_consolidation,11.18,0.0,2012-09-01,6.0,0.0,664,660,5344,66.0,10473.4795,2017-11-01,0.0,11.992033,36,5.457331
18495553,12000,12000, 60 months,20.9,324.58,E,8 years,RENT,38000.0,Source Verified,2014-06-01,Charged Off,debt_consolidation,22.17,1.0,2003-09-01,6.0,0.0,674,670,3884,73.0,2604.75,2015-03-01,0.0,8.969383,60,-15.658751
31507182,4800,4800, 36 months,11.6,158.68,B,2 years,RENT,75000.0,Not Verified,2014-10-01,Charged Off,credit_card,8.62,0.0,1991-05-01,8.0,0.0,719,715,12788,56.0,1739.26,2015-09-01,0.0,11.006386,36,-21.255138
97924159,14625,14625, 60 months,28.6,461.47,F,3 years,OWN,43920.0,Verified,2017-02-01,Fully Paid,debt_consolidation,24.29,0.0,2009-02-01,12.0,0.0,719,715,12154,31.0,20615.129,2018-09-01,0.0,18.957268,60,8.191629
774919,14000,14000, 36 months,16.4,495.6,D,4 years,RENT,45000.0,Source Verified,2011-06-01,Charged Off,other,14.03,0.0,2005-12-01,7.0,0.0,684,680,3898,40.0,4687.99,2011-12-01,1720.93,6.012444,36,-22.171452
93207299,20000,20000, 36 months,11.4,658.95,B,4 years,RENT,80000.0,Verified,2016-11-01,Fully Paid,debt_consolidation,22.47,0.0,2005-05-01,10.0,0.0,664,660,17339,41.0,22647.715,2018-04-01,0.0,16.95312,36,4.4128585
