age,income_band,region,tenure_months,prior_purchases,web_visits_30d,prior_campaign_response,credit_score_band,premium_support_calls_30d,welcome_email_click,first_month_usage_minutes,signup_30d
48.0,1,West,7.8,0,3,0,1,0,0,0.0,0
40.3,4,South,53.7,1,4,0,2,1,1,61.1,1
49.8,3,North,91.6,0,10,0,1,1,1,124.7,1
60.3,4,South,27.3,0,9,0,2,0,0,0.0,0
39.2,3,North,84.4,1,5,1,2,0,0,0.0,0
39.2,1,North,8.1,0,5,0,2,0,0,0.0,0
61.0,1,West,40.5,2,3,1,3,0,0,0.0,0
51.2,4,Midwest,27.2,1,4,0,1,0,0,0.0,0
36.4,2,Midwest,7.3,0,4,0,1,0,0,0.0,0
48.5,2,North,9.2,0,2,1,2,0,0,0.0,0
36.4,2,North,16.1,0,3,0,2,0,0,0.0,0
36.4,2,West,37.6,1,4,0,1,0,0,0.0,0
44.9,3,North,49.4,2,4,0,2,0,0,0.0,0
19.0,2,South,24.1,0,6,0,3,0,0,0.0,0
21.3,3,North,30.7,1,6,0,3,0,0,0.0,0
35.3,4,South,7.4,0,3,1,2,2,1,122.6,1
29.8,1,West,32.4,2,5,0,2,0,0,0.0,0
45.8,2,North,22.3,3,8,0,2,0,0,0.0,0
31.1,2,Midwest,6.1,4,5,0,3,0,0,0.0,0
25.1,4,West,72.0,2,5,0,1,0,0,0.0,0
59.6,2,North,17.3,1,6,1,1,0,0,0.0,0
39.3,2,North,38.0,3,2,0,1,0,0,0.0,0
42.8,3,South,17.9,2,1,0,1,0,0,0.0,0
24.9,2,North,64.9,0,4,0,2,0,0,0.0,0
35.5,4,South,3.7,1,2,1,2,0,1,89.2,1
43.3,4,South,19.0,2,7,0,3,2,1,76.0,1
28.2,2,Midwest,1.0,1,4,1,2,2,1,106.9,1
46.5,3,Midwest,5.3,1,4,0,2,0,0,0.0,0
34.8,1,Midwest,7.9,1,4,0,2,0,0,0.0,0
38.5,3,West,15.4,1,5,1,2,2,0,91.5,1
34.8,3,Midwest,41.2,2,3,0,1,0,0,0.0,0
64.2,2,South,15.1,0,4,0,3,0,0,0.0,0
41.8,1,North,19.8,2,1,0,2,0,0,0.0,0
29.3,4,South,61.9,3,7,1,1,2,1,114.6,1
51.9,2,Midwest,33.9,1,3,0,2,1,0,163.6,1
27.3,3,North,1.2,0,8,0,3,0,0,0.0,0
44.5,1,South,4.7,1,12,0,2,0,0,0.0,0
18.5,2,North,1.0,2,3,0,1,0,0,0.0,0
26.1,3,South,1.7,0,11,0,2,0,0,0.0,0
44.4,2,North,9.9,1,4,0,1,0,0,0.0,0
