age,income_band,region,tenure_months,prior_purchases,web_visits_30d,prior_campaign_response,credit_score_band,premium_support_calls_30d,welcome_email_click,first_month_usage_minutes,lead_id,signup_30d
44.2,3,North,11.6,1,5,0,3,0,0,0.0,27391,0
45.5,1,Midwest,49.8,0,4,0,2,0,0,0.0,37398,0
61.3,3,North,10.8,2,7,1,2,1,1,108.5,17665,1
39.4,3,South,59.4,4,4,0,2,0,0,0.0,8647,0
26.3,2,South,1.0,1,3,0,2,0,0,0.0,20032,0
44.8,2,South,12.7,0,4,0,2,0,0,0.0,37564,0
42.7,4,Midwest,14.0,2,2,0,2,0,0,0.0,18924,0
42.4,3,West,66.0,4,7,0,1,0,0,0.0,30686,0
54.5,3,South,1.3,3,4,0,2,0,0,0.0,883,0
49.7,1,North,52.6,4,2,0,2,0,0,0.0,7832,0
44.7,2,Midwest,37.8,0,7,0,3,0,0,0.0,20906,0
33.3,4,South,14.6,2,8,0,2,0,0,0.0,27400,0
42.1,2,North,12.8,2,6,0,1,0,0,0.0,11229,0
38.8,3,Midwest,120.0,1,2,0,1,0,0,0.0,25212,0
47.1,2,North,10.8,1,1,0,2,0,0,0.0,17192,0
49.2,4,West,24.2,2,10,0,2,0,0,0.0,20562,0
49.9,2,Midwest,20.5,2,5,0,2,0,0,0.0,21265,0
49.9,2,North,28.6,3,6,1,2,0,0,0.0,39373,0
42.7,3,West,30.9,1,3,0,3,0,0,0.0,7371,0
54.1,3,Midwest,4.4,1,7,0,3,0,0,0.0,27930,0
21.9,2,Midwest,5.8,2,3,0,3,0,0,0.0,9249,0
36.1,2,Midwest,6.0,1,3,0,1,0,0,0.0,22248,0
45.2,3,Midwest,6.6,1,5,1,1,0,0,0.0,15488,0
49.3,1,Midwest,7.2,2,4,0,2,0,0,0.0,25384,0
49.3,2,South,6.1,1,6,0,3,0,0,0.0,7930,0
40.4,1,North,6.8,1,11,0,3,2,0,157.3,20087,1
57.7,3,South,38.1,4,6,0,1,0,0,0.0,35656,0
34.2,2,West,2.3,2,3,1,2,0,0,0.0,504,0
38.8,1,Midwest,28.7,3,5,1,3,2,1,63.7,34407,1
61.2,1,North,7.4,1,4,1,1,0,0,0.0,33011,0
31.7,4,South,15.5,1,4,0,2,0,0,0.0,36467,0
47.4,4,Midwest,17.6,5,5,1,2,0,0,0.0,6011,0
36.6,2,North,87.7,2,5,0,3,0,0,0.0,2088,0
44.2,4,North,50.5,2,8,0,2,0,0,0.0,8767,0
47.3,4,Midwest,4.1,2,4,0,1,0,0,0.0,7388,0
38.6,2,North,37.1,4,8,0,3,0,0,0.0,33958,0
43.0,2,Midwest,31.7,3,7,0,1,0,0,0.0,21039,0
46.8,4,West,2.6,2,1,0,2,0,0,0.0,29178,0
27.9,2,North,24.3,2,4,0,2,0,0,0.0,22920,0
57.4,2,North,4.7,0,3,0,3,0,0,0.0,29882,0
37.5,2,Midwest,4.1,5,2,0,2,0,0,0.0,22331,0
43.1,2,Midwest,1.7,1,3,1,2,0,0,0.0,20389,0
56.4,2,West,4.1,1,1,0,2,0,0,0.0,21621,0
58.6,2,West,7.4,0,2,1,2,0,0,0.0,36193,0
42.1,3,West,4.3,1,3,0,2,0,0,0.0,18201,0
55.0,3,Midwest,5.9,2,5,0,3,0,0,0.0,6721,0
39.7,1,Midwest,34.4,2,3,0,1,0,0,0.0,11871,0
39.6,4,North,90.7,2,2,1,3,4,1,107.3,2612,1
38.0,1,West,17.6,2,6,0,2,0,0,0.0,2502,0
31.9,2,North,27.0,1,3,0,3,0,0,0.0,19827,0
29.3,4,North,15.1,1,8,0,1,0,0,0.0,12484,0
35.0,3,West,3.9,3,5,0,2,0,0,0.0,37634,0
33.4,3,North,2.6,1,5,0,2,0,0,0.0,24204,0
51.1,3,North,1.7,1,7,0,1,0,0,0.0,34699,0
48.1,3,Midwest,1.0,2,8,0,2,0,0,0.0,1287,0
43.1,3,West,11.7,0,4,0,3,0,0,0.0,33950,0
39.6,2,Midwest,3.4,3,7,0,2,2,1,54.3,23564,1
41.1,2,South,1.0,2,5,0,2,0,0,0.0,31347,0
40.5,1,Midwest,30.9,1,4,0,2,0,0,0.0,1515,0
